Database_name  	Query_name     	ShapeTanimoto  ChemTanimoto    ShapeSim   ChemSim   ShapeSimPval  ChemSimPval   TverskyShape  TverskyChem  
ZINC00007489   	STI            	   0.278          0.277         0.456      0.429    2.928035e-01  4.368334e-01    0.565         0.565        
ZINC00008074   	STI            	   0.343          0.343         0.504      0.480    7.567520e-02  1.212778e-01    0.653         0.653        
ZINC00008075   	STI            	   0.347          0.346         0.507      0.482    7.540059e-02  1.195299e-01    0.646         0.645        
ZINC00008076   	STI            	   0.376          0.376         0.530      0.507    4.153728e-02  6.389282e-02    0.665         0.664        
ZINC00008077   	STI            	   0.337          0.337         0.500      0.475    8.385427e-02  1.350144e-01    0.650         0.649        
ZINC00008079   	STI            	   0.366          0.365         0.521      0.497    5.062330e-02  8.047147e-02    0.663         0.662        
ZINC00017525   	STI            	   0.291          0.284         0.467      0.437    2.248277e-01  3.741578e-01    0.575         0.569        
ZINC00600761   	STI            	   0.436          0.427         0.579      0.551    5.086784e-03  1.013671e-02    0.756         0.749        
ZINC00601820   	STI            	   0.261          0.257         0.446      0.416    3.390190e-01  5.535662e-01    0.580         0.575        
ZINC00838734   	STI            	   0.285          0.282         0.464      0.435    2.083057e-01  3.554618e-01    0.609         0.606        
ZINC01488976   	STI            	   0.384          0.382         0.538      0.513    2.284636e-02  3.901073e-02    0.706         0.704        
ZINC02047503   	STI            	   0.271          0.266         0.456      0.425    2.519623e-01  4.467469e-01    0.599         0.592        
ZINC03815223   	STI            	   0.296          0.295         0.475      0.448    1.457103e-01  2.461448e-01    0.628         0.626        
ZINC03815240   	STI            	   0.289          0.285         0.478      0.449    1.165555e-01  2.230687e-01    0.636         0.631        
ZINC03815261   	STI            	   0.277          0.270         0.466      0.434    1.808009e-01  3.543099e-01    0.616         0.608        
ZINC03815288   	STI            	   0.284          0.280         0.465      0.435    2.023515e-01  3.573424e-01    0.611         0.606        
ZINC03815289   	STI            	   0.301          0.295         0.489      0.460    7.425244e-02  1.508583e-01    0.654         0.648        
ZINC03815299   	STI            	   0.291          0.290         0.472      0.445    1.565799e-01  2.649735e-01    0.624         0.623        
ZINC03815302   	STI            	   0.286          0.282         0.467      0.437    1.892631e-01  3.379933e-01    0.614         0.609        
ZINC03815307   	STI            	   0.281          0.277         0.467      0.438    1.759514e-01  3.222064e-01    0.618         0.613        
ZINC03815308   	STI            	   0.337          0.329         0.508      0.477    4.852951e-02  9.964765e-02    0.676         0.668        
ZINC03815309   	STI            	   0.344          0.338         0.510      0.482    4.727678e-02  9.014955e-02    0.678         0.672        
ZINC03815350   	STI            	   0.295          0.291         0.473      0.444    1.596479e-01  2.840005e-01    0.623         0.619        
ZINC03815354   	STI            	   0.313          0.308         0.485      0.456    1.137981e-01  2.055239e-01    0.640         0.635        
ZINC03815368   	STI            	   0.306          0.296         0.480      0.446    1.357875e-01  2.764134e-01    0.631         0.619        
ZINC03815379   	STI            	   0.297          0.291         0.492      0.463    5.469553e-02  1.211924e-01    0.659         0.651        
ZINC03815405   	STI            	   0.282          0.272         0.478      0.446    1.013759e-01  2.349977e-01    0.637         0.625        
ZINC03815480   	STI            	   0.276          0.271         0.467      0.437    1.720249e-01  3.280640e-01    0.618         0.612        
ZINC03815482   	STI            	   0.299          0.294         0.487      0.458    8.160473e-02  1.634178e-01    0.650         0.645        
ZINC03815483   	STI            	   0.314          0.309         0.496      0.468    6.137259e-02  1.213799e-01    0.664         0.659        
ZINC03815484   	STI            	   0.289          0.289         0.463      0.437    2.394839e-01  3.671097e-01    0.592         0.592        
